transaction_id,customer_id,channel,product,amount,currency,timestamp,status,fraud_flag
1,15796,POS,Debit,90.69,CAD,2026-03-04,Success,0
2,861,Online,e-Transfer,35.29,CAD,2026-03-10,Success,0
3,5391,POS,Debit,15.5,CAD,2026-03-25,Success,0
4,11965,Online,e-Transfer,11.52,CAD,2026-03-12,Success,0
5,11285,Online,Debit,321.88,CAD,2026-01-25,Success,0
6,6266,Online,Debit,18.78,CAD,2026-03-29,Success,0
7,16851,Online,Debit,11.01,CAD,2026-03-13,Success,0
8,4427,Online,e-Transfer,6.12,CAD,2026-03-03,Success,0
9,14424,Mobile,Debit,7.02,CAD,2026-01-31,Success,0
10,11364,POS,e-Transfer,10.06,CAD,2026-03-19,Success,0
11,16024,Online,e-Transfer,10.91,CAD,2026-02-08,Success,1
12,8323,Online,Debit,15.66,CAD,2026-03-10,Success,0
13,1686,POS,Debit,48.92,CAD,2026-02-16,Success,0
14,770,POS,e-Transfer,29.87,CAD,2026-03-03,Success,0
15,2434,Mobile,Debit,43.05,CAD,2026-02-12,Success,0
16,5312,Online,Debit,14.66,CAD,2026-02-15,Success,0
17,5052,POS,Debit,19.7,CAD,2026-01-11,Success,0
18,6421,Mobile,Debit,42.86,CAD,2026-03-28,Success,0
19,17569,Online,Debit,44.27,CAD,2026-03-17,Success,0
20,19770,Online,Debit,16.2,CAD,2026-01-01,Success,0
21,6397,Online,e-Transfer,93.0,CAD,2026-01-10,Success,0
22,8667,POS,e-Transfer,8.22,CAD,2026-03-13,Success,0
23,18943,POS,e-Transfer,71.37,CAD,2026-03-20,Success,0
24,18432,POS,e-Transfer,13.55,CAD,2026-01-16,Success,0
25,2748,POS,Debit,9.56,CAD,2026-03-09,Success,0
26,190,Mobile,e-Transfer,9.13,CAD,2026-01-06,Success,0
27,19119,POS,Debit,14.66,CAD,2026-01-17,Success,0
28,3006,POS,Debit,43.41,CAD,2026-01-31,Success,0
29,1900,Online,e-Transfer,54.54,CAD,2026-02-15,Success,0
30,1268,Mobile,e-Transfer,32.71,CAD,2026-02-26,Success,0
31,17913,POS,e-Transfer,12.87,CAD,2026-03-29,Success,0
32,11395,Mobile,Debit,14.12,CAD,2026-02-02,Success,0
33,3557,POS,Debit,13.4,CAD,2026-03-07,Success,0
34,3891,POS,Debit,146.24,CAD,2026-03-07,Success,0
35,8839,Online,Debit,25.48,CAD,2026-02-10,Success,0
